Date,From,Subject,bioguide_id
3/2/21,Rep. Raskin's February in Review,"March 2, 2021	Dear Neighbor:	I wanted to take a moment to share with you a brief update about how my staff and I have been working for the people of the 8th District. It is a surpassing honor to continue serving as your Representative in Congress.	As always, I encourage all 8th District residents to¬†connect with me on¬†¬†Facebook,¬†Twitter, or¬†Instagram.¬†		Stay close,			Celebrating Black History Month		As the nation celebrated Black History Month,¬†I was honored to recognize¬†Shirl Spicer,¬†Montgomery Parks'¬†Museum Manager, and David Key, President of the African American Resources-Cultural Heritage (AARCH) Society of Frederick County, as our 8th District Local Heroes.¬†	Click here to learn more about Shirl's work¬†overseeing the Josiah Henson Museum restoration and bringing to life African-American history across Maryland.	Click here to learn more about David and AARCH's effort to¬†build a vibrant Heritage Center to tell the amazing but unsung story of Frederick‚Äôs African-American community.¬†	Calling for Vaccine Equity	African-Americans make up 31% of our population in Maryland but make up more than 35% of our COVID-19 deaths. I'm committed to doing everything I can to improve vaccine equity and overcome vaccine hesitancy in communities of color. Click here to watch my Q&A with the expert witnesses who testified in our Coronavirus Oversight Select Subcommittee hearing about equity in coronavirus vaccinations.	Fighting for Federal Workers		I'm proud to represent tens of thousands of federal employees who live and work in the 8th District. In our Oversight hearing about revitalizing the federal workforce, I argued that the federal government must be an instrument of the common good, not self-enrichment, and Congress must protect federal workers. You can click here to watch my hearing remarks on the importance of restoring the civil service.	Launching the 2021 Congressional Art Competition	I was thrilled to announce¬†the launch of our 2021 Congressional Art Competition for 8th District high school students! Entries must be submitted digitally by 5pm on Monday, April 12th. More than 120 students from 16 high schools across the District participated in last year‚Äôs competition and I'm looking forward¬†to seeing all of the amazing artwork from this year's student artists. Visit my website for more information about how to participate and observe.¬†	Examining U.S. Postal Service Delays	In our Oversight Committee hearing about the USPS, I asked Postmaster General Louis DeJoy how his illogical plan to eliminate first-class two-day delivery, thereby doubling or tripling delivery times, would address the existing service problems that many of my constituents and Americans across the country have experienced. The Postmaster General‚Äôs proposed solution to problems he created is to surrender. You can watch our Committee exchange here.	Passing the Equality Act	Last week, the¬†House just voted 224 to 206 to pass the Equality Act to end discrimination against LGBTQ Americans in housing, education, public accommodations and employment. This is thrilling progress for civil rights in America. Every year I've been in Congress,¬†I've been a proud cosponsor of this bill and proudly voted YES.	Serving as Lead House Impeachment Manager	I recently served as Lead House Impeachment Manger in the U.S. Senate Impeachment Trial of former President Donald Trump. In the most bipartisan presidential impeachment vote in the history of the country, a powerful majority of both houses of Congress found that the former President incited violent insurrection against the Union and the Congress. I thank my constituents for engaging so passionately with this crucial process and for all of your messages.	Passing the American Recovery Act		Days ago, the House passed the American Rescue Plan to deliver stimulus checks to our people, revitalize our economy, and crush the deadly COVID-19 virus. Click here to see a breakdown of what's included in our House-passed bill. I urge the Senate to swiftly pass this legislation without further delay so we can provide urgently-needed relief to millions of struggling Americans.			This mailbox cannot receive replies. To email me, please click here.",R000606
3/2/21,Update on my efforts to protect green space in LA,"Dear Friend: 	I wanted to share an exciting legislative update with you on an open space expansion we‚Äôve been working on for almost 20 years: 	Last week,¬†the House passed my¬†Rim of the Valley Corridor Preservation Act, which will expand and protect 191,000 acres in the areas surrounding the Los Angeles Basin. I‚Äôve been working with constituents and community environmental advocates on this effort for nearly two decades. It will enable the National Park Service and our local community to better protect natural resources and habitats, providing us with improved access to nature for recreational and educational purposes. 	This legislation passed the House as part of a package of public lands bills called the¬†Protecting America‚Äôs Wilderness and Public Lands Act.¬†It‚Äôs now headed to the Senate, where it awaits a vote. 	¬†    WATCH: Rep. Schiff speaks on the House Floor in support of the Rim of the Valley Corridor Preservation Act 	¬† 	Those unfamiliar with Los Angeles may think it‚Äôs connected only by freeways. But we know that‚Äôs just not true. Los Angeles is connected by wildlife and open spaces that bridge our communities and bring us together. 	I¬†held a virtual press conference¬†with my Congressional colleagues from California, environmental organizations, and community advocates. One community leader, Ulmira Lopez, spoke about the first time she had the opportunity to visit the San Gabriel Mountains and highlighted the importance of protecting public lands:  ‚ÄúThat visit [to the] San Gabriel Mountains changed my view of living. It changed my mind about how I was taking care of myself. In that visit, I was able to experience freedom, peace, harmony, and a beautiful display of nature around me.‚Äù 	Protecting Los Angeles‚Äô beautiful wilderness is an environmental imperative. It‚Äôs a public health imperative. It‚Äôs a racial justice and economic equity imperative. 	And good news ‚Äì President Biden strongly supports this bill, which directly contributes to his goal to conserve more public lands and waters and protect our communities from the effects of climate change. 	Now, the Senate must pass this legislation so that we can preserve this breathtakingly beautiful land for generations to come. 	I‚Äôll continue to keep you updated on the progress of my Rim of the Valley Corridor Preservation Act. In the meantime, enjoy some socially-distanced time outside, wear a mask, and enjoy the magic of Los Angeles‚Äô open spaces! 	¬† 	Thank you,   	Congressman Adam Schiff",S001150
3/2/21 9:10,U.S. Congresswoman Stephanie Murphy <stephanie.murphy@mail.house.gov>,Join Me for a Tele-Listening Session,M001202
3/2/21 9:14,Rep. Blake Moore <repblakemoore@mail8.housecommunications.gov>,Weekly Newsletter from the Office of Congressman Blake Moore,M001213
3/2/21 9:57,Congressman Paul Gosar <Rep.Paul.Gosar@mail.house.gov>,Congressman Gosar Reacts to Copper Mine Ban,G000565
3/2/21 10:30,Rep. Andrew Clyde <repclyde@mail8.housecommunications.gov>,Clyde in Congress: A week of radical Democratic Party legislation,C001116
3/2/21 10:47,Congresswoman Debbie Dingell <enewsMI12@mail.house.gov>,"Dingell Update: March 2, 2021",D000624
3/2/21 11:35,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,"Bergman Demands Action, Accountability for Issues Facing Michigan Guard in DC",B001301
3/2/21 12:30,Congresswoman Stephanie Bice <repbice@mail8.housecommunications.gov>,Oklahoma  Coronavirus Update,B000740
3/2/21 12:34,Senator Ron Wyden <senator_wyden@wyden.senate.gov>,Small businesses owners of Oregon: Apply for COVID economic relief now through March 9,W000779
3/2/21 13:13,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Get Vaccinated Today! COVID-19 Vaccine Hotline for District Residents,E000297
3/2/21 13:28,U.S. Representative Troy Balderson <rep.balderson@mail.house.gov>,Do You Support Taxpayer-Funded Political Campaigns?,B001306
3/2/21 13:30,Rep. Nikema Williams <repwilliams@mail8.housecommunications.gov>,Nikema's Notes for February 2021,W000788
3/2/21 14:01,Congressman Michael Cloud <noreply@mail8.housecommunications.gov>,Continued Recovery from the Winter Storm,M001159
3/2/21 14:17,Office of Congresswoman Marjorie Taylor Greene <repgreene@mail8.housecommunications.gov>,"SOUNDLY DEFEATED: Rep. Cori Bush's Radical  ""Violent Convicted Criminals Can Vote"" Amendment Defeated After Congresswoman Marjorie Taylor Greene Forces Vote",G000596
3/2/21 14:43,Congressman Jerry Nadler <CongressmanNadler@mail.house.gov>,Congressman Nadler Applauds House Passage of American Rescue Plan,N000002
3/2/21 15:07,Rep. Kaialiʻi Kahele <repkahele@mail8.housecommunications.gov>,Aloha from Congressman Kahele,K000396
3/2/21 15:32,Congresswoman Marcia Fudge <OH11MFOutreach@mail.house.gov>,Vaccine Update From Rep. Marcia L. Fudge,F000455
3/2/21 16:09,Congressman Paul Gosar <Rep.Paul.Gosar@mail.house.gov>,"Gosar, Sinema Introduce the La Paz County Land Solar Development and Job Creation Act of 2021",G000565
3/2/21 16:14,Congressman Andy Biggs <AZ05AB.Outreach@mail.house.gov>,Fight for election integrity – here's how Americans can defeat Democrats' HR1,B001302
3/2/21 16:17,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,"Espaillat, Schneider Introduce Legislation to Close the Ghost Guns Loophole",E000297
3/2/21 16:23,Rep. Jay Obernolte <repobernolte@mail8.housecommunications.gov>,The latest news for you,O000019
3/2/21 16:24,Rep. Carlos A. Gimenez <repgimenez@mail8.housecommunications.gov>,Newsletter: Gimenez Introduces Legislation,G000593
3/2/21 16:35,Rep. Hank Johnson <Rep.HankJohnson@MAIL.HOUSE.GOV>,PPP For ONLY Small Businesses,J000288
3/2/21 16:36,Rep. Tom Malinowski <RepTomMalinowski@mail.house.gov>,WATCH NOW: 2021 FAFSA Virtual Information Session,M001203
3/2/21 16:57,Rep. Burchett <repburchett@mail8.housecommunications.gov>,March Newsletter Update from Congressman Tim Burchett,B001309
3/2/21 17:11,Congressman Paul Gosar <Rep.Paul.Gosar@mail.house.gov>,"Gosar, Sinema introduce the La Paz County Land Solar Development and Job Creation Act of 2021",G000565
3/2/21 17:32,Congressman Joe Neguse <CongressmanJoeNeguse@mail.house.gov>,Our First Annual Wildfire Summit,N000191
3/2/21 18:08,Congressman Tom Rice <rice.press@mail.house.gov>,Covid-19 Vaccine Newsletter,R000597
3/2/21 18:22,Rep. August Pfluger <reppfluger@mail8.housecommunications.gov>,Need your opinion on H.R.1,P000048
3/2/21 18:26,Senator Manchin <donotreply@manchin.senate.gov>,"U.S. Senator Joe Manchin Newsletter - March 2, 2021",M001183
3/2/21 19:45,U.S. Rep. Newman <repnewman@mail8.housecommunications.gov>,Hello Lindsey! An update from your Congresswoman!,N000192
3/2/21 20:18,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/3/21,M001165
3/2/21 20:38,Rep. Ralph Norman <repralph.norman@mail.house.gov>,"Vaccines in SC, legislation in Congress, and much more",N000190
3/3/21 5:02,Rep. Tracey Mann <repmann@mail8.housecommunications.gov>,CongressMann Mail,M000871
3/3/21 8:22,Congressman Gerry Connolly <GerryConnolly@mail.house.gov>,A once-in-a-generation opportunity,C001078
3/3/21 8:37,Leader Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The truth behind their election bill 🗳️,M001165
3/3/21 9:02,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,COVID-19 Vaccine Hotline for District Residents 65 Years & Older - Now Open!,E000297
3/3/21 9:29,Rep. Jerry Carl <repcarl@mail8.housecommunications.gov>,March Newsletter,C001054
3/3/21 11:03,Congressman Henry Cuellar <rep.cuellar@mail.house.gov>,Congressional Report,C001063
3/3/21 12:27,Congresswoman Joyce Beatty <Congresswoman.Beatty@mail.house.gov>,$430 Billion+ for OH-03 in American Rescue Plan!,B001281
3/3/21 12:33,Rep. Trey Hollingsworth <noreply@mail8.housecommunications.gov>,Poll: Qualified Immunity for Law Enforcement Officers,M001159
3/3/21 14:12,Rep. Kathy Castor <kathy.castor@mail.house.gov>,"HouseWatch Alert Week of March 3, 2021",C001066
3/3/21 14:26,Congresswoman Alma Adams <no-reply@mail.house.gov>,2021 Congressional Art Competition,A000370
3/3/21 14:41,Leader McCarthy's Office <RepublicanLeader@mail3.housecommunications.gov>,Inside Democrats' plan,M001165
3/3/21 14:47,Office of Senator Tim Kaine <senator@kaine.senate.gov>,Improving Accountability and Transparency in Our Justice System,K000384
3/3/21 15:19,Rep. Lizzie Fletcher <no-reply@mail.house.gov>,Thursday: Virtual Constituent Services Office Hours,F000468
3/3/21 15:29,Office of U.S. Senator James E. Risch <press_@risch.senate.gov>,"OPINION: As U.S. debt nears $30 trillion, D.C. should look to Idaho for a better approach.",R000584
3/3/21 16:06,Congresswoman Lisa Blunt Rochester <congresswoman.bluntrochester@mail.house.gov>,Answering Your Tax Questions,B001303
3/3/21 16:59,Rep. Hank Johnson <Rep.HankJohnson@MAIL.HOUSE.GOV>,EMERGENCY TOWNHALL for Small Business Owners!,J000288
3/3/21 17:50,Office of U.S. Senator Tammy Baldwin <enews@baldwin.senate.gov>,Baldwin Introduces Bipartisan Great Lakes Winter Commerce Act,B001230
3/3/21 18:17,Congressman Tom O'Halleran <info@az01to.congressnewsletter.net>,Let's catch up,O000171
3/3/21 19:26,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,"Bergman, Gallagher Introduce Bill to Strengthen Great Lakes Winter Commerce",B001301
3/3/21 20:36,Congressman Steven Horsford <info@nv04sh.congressnewsletter.net>,Tomorrow: Join me for a Tele-Town Hall on COVID-19 Relief,H001066
3/3/21 22:04,Senator Jeff Merkley <Senator_Merkley@merkley.senate.gov>,A Bold Plan for Relief,M001176
3/4/21 9:51,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Now Accepting Entries! 2021 Congressional Art Competition,E000297
3/4/21 9:54,The Office of Congresswoman Nicole Malliotakis <repmalliotakis@mail8.housecommunications.gov>,FOR IMMEDIATE RELEASE: Malliotakis Introduces Right to Remain Safe Act of 2021,M000317
3/4/21 10:41,Congressman Glenn Grothman <CongressmanGrothman@mail.house.gov>,Rep. Grothman Survey- Publicly Funded Elections,G000576
3/4/21 12:20,Congressman Antonio R. Delgado <RepAntonioDelgado@mail.house.gov>,$400 Million for NY-19,D000630
3/4/21 12:23,Congresswoman Jaime Herrera Beutler <WA03.HerreraBeutler@mail.house.gov>,County-by-county COVID vaccine resources,H001056
3/4/21 12:30,"""Blumenauer, Earl"" <Congressman.EarlBlumenauer@mail.house.gov>",A vote ‘For the People’,B000574
3/4/21 13:11,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Announces 2021 Congressional Art Competition,B001301
3/4/21 13:27,Office of Rep. August Pfluger <reppfluger@mail8.housecommunications.gov>,Pfluger on Fox News: “We want him back”,P000048
3/4/21 13:54,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Representative Adriano Espaillat Votes to Pass George Floyd Justice in Policing Act,E000297
3/4/21 14:15,Congresswoman Joyce Beatty <Congresswoman.Beatty@mail.house.gov>,The People’s Interests NOT Special Interests!,B001281
3/4/21 15:05,Congressman Kevin Brady <congressman.brady@mail.house.gov>,Politicians > People,B000755
3/4/21 15:17,Congressman John Sarbanes <Congressman.Sarbanes@mail.house.gov>,"A Historic Week for Justice, Equality and Inclusive Democracy",S001168
3/4/21 15:30,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Applauds Federal Loan To Dickinson County Hospital,B001301
3/4/21 16:52,Congressman David Price <Price@mail.house.gov>,North Carolina Needs H.R. 1,P000523
3/4/21 17:01,Rep. Lizzie Fletcher <no-reply@mail.house.gov>,Monday: Telephone Town Hall on COVID-19 Vaccines,F000468
3/4/21 17:23,Rep. Barry Moore <repbarrymoore@mail8.housecommunications.gov>,The Moore You Know,M001212
3/4/21 18:06,Congresswoman Gwen Moore <wi04ma@mail.house.gov>,Information on Recovering Stimulus Funds and Tax Credits to Benefit You and Your Family,M001160
3/4/21 18:12,Congressman Jody Hice <rep.jodyhice@mail.house.gov>,"The ""For the Politicians Act""",H001071
3/4/21 18:35,Joni K. Ernst <Senator@Ernst.senate.gov>,A COVID Relief Bill Should Focus on COVID Relief. Period.,E000295
3/4/21 19:02,Congressman Raja Krishnamoorthi <CongressmanRaja@mail.house.gov>,Passage of the American Rescue Plan Act and Other Updates,K000391
3/4/21 19:50,Congresswoman Lucille Roybal-Allard <CA40.Roybal-Allard@mail.house.gov>,I Reintroduced the Dream and Promise Act to Protect Dreamers and Recipients of TPS and DED / Reintroduje la Ley de Sueño y Promesa para proteger a los soñadores y beneficiarios de TPS y DED ,R000486
3/5/21 8:34,Congressman David Price <Price@mail.house.gov>,The House Passed the George Floyd Justice in Policing Act,P000523
3/5/21 9:13,Rep. Blake Moore <repblakemoore@mail8.housecommunications.gov>,Reminder: Weekly Newsletter from the Office of Congressman Blake Moore,M001213
3/5/21 9:17,Congressman Gerry Connolly <GerryConnolly@mail.house.gov>,Justice in Policing,C001078
3/5/21 10:30,Rep. Andrew Clyde <repclyde@mail8.housecommunications.gov>,Reminder: Clyde in Congress: A week of radical Democratic Party legislation,C001116
3/5/21 11:12,Congressman H. Morgan Griffith <Griffith.News@mail.house.gov>,Remaking the United States by April 1,G000568
3/5/21 11:30,Senator Ron Wyden <senator_wyden@wyden.senate.gov>,The Senate must pass a $15 minimum wage NOW!,W000779
3/5/21 12:40,Congressman John Garamendi <CA03JG.Outreach@mail.house.gov>,Meeting with President Biden,G000559
3/5/21 12:40,Congressman Kevin Brady <congressman.brady@mail.house.gov>,We Cannot Defund the Police,B000755
3/5/21 12:52,Congresswoman Herrell <repherrell@mail8.housecommunications.gov>,Dangerous Policies from DC,H001084
3/5/21 12:52,Congressman Chris Stewart <Congressman.Stewart@mail.house.gov>,The Stewart Standard: A Congressional Update,S001192
3/5/21 12:57,Rep. Chrissy Houlahan <RepChrissyHoulahan@mail.house.gov>,Vaccine and COVID Relief Updates,H001085
3/5/21 13:02,Congressman Blaine Luetkemeyer <Congressman.Luetkemeyer@mail.house.gov>,Blaine’s Bulletin: The National Guard,L000569
3/5/21 13:14,Steve Stivers <Stivers.Enews@mail.house.gov>,Helping Our Heroes Heal,S001187
3/5/21 13:15,Congressman Rick Allen <allen.ga@mail.house.gov>,House Democrats Attack States' Rights,A000372
3/5/21 13:19,Congresswoman Debbie Dingell <enewsMI12@mail.house.gov>,"Dingell Update: March 5, 2021",D000624
3/5/21 13:27,Rep. Ken Buck <repbuck@mail8.housecommunications.gov>,"Floor Wrap-Up: H.R. 1 ""For The Swamp Act,"" Why I Voted ""NO""",B001297
3/5/21 13:49,Rep. Billy Long <Congressman.BillyLong@mail.house.gov>,Biden's Bad Energy,L000576
3/5/21 13:58,Congressman Steny Hoyer <Steny.Hoyer4@mail.house.gov>,Highlights from the 40th Annual Black History Month Celebration,H000874
3/5/21 14:05,Congressman Michael Cloud <noreply@mail8.housecommunications.gov>,Reminder: Continued Recovery from the Winter Storm,M001159
3/5/21 14:06,Rep. Randy Feenstra <repfeenstra@mail8.housecommunications.gov>,Randy’s Roundup: Fighting against Democrats’ attempt to federalize elections,F000446
3/5/21 14:07,Office of U.S. Senator Tammy Baldwin <enews@baldwin.senate.gov>,Baldwin Joins Local Wisconsin Leaders to Call for Senate Passage of American Rescue Plan,B001230
3/5/21 14:27,Rep. Ronny Jackson <RepRonnyJackson.noreply@mail.house.gov>,Ronny's Roundup,J000304
3/5/21 14:40,Congresswoman Lauren Boebert <info@co03lb.congressnewsletter.net>,The Swamp,B000825
3/5/21 14:46,The Durbin Report <newsletter@durbin.senate.gov>,White Supremacy on the Rise,D000563
3/5/21 14:57,Senator Catherine Cortez Masto <Senator@cortezmasto.senate.gov>,Senator Cortez Masto's Grants eNewsletter,C001113
3/5/21 15:02,Rep. Diana Harshbarger <repharshbarger@mail8.housecommunications.gov>,From the Desk of Congresswoman Diana Harshbarger,H001086
3/5/21 15:29,Congressman Bruce Westerman <info@ar04bw.congressnewsletter.net>,Westerman Wrapup 3.5.21,W000821
3/5/21 15:41,Congresswoman Ann McLane Kuster <NH02AMIMA@mail.house.gov>,"Three Safe, Effective Vaccines",K000382
3/5/21 16:03,Senator Christopher Murphy <senator_@murphy.senate.gov>,Senator Murphy COVID-19 Weekly Update: March 5th,M001169
3/5/21 16:06,"""Rep. Ami Bera, M.D."" <repamibera@mail.house.gov>",Important COVID-19 update,B001287
3/5/21 16:20,Congressman Jake LaTurner <replaturner@mail8.housecommunications.gov>,Weekly Update from Congressman Jake LaTurner,L000266
3/5/21 16:32,Rep. Barry Loudermilk <Barry.Loudermilk@mail.house.gov>,Rep. Loudermilk's Weekly Newsletter,L000583
3/5/21 16:36,Rep. Joe Morelle <repmorelle@mail.house.gov>,Safeguarding Our Democracy | Ensuring Justice for All,M001206
3/5/21 16:43,Congressman Pete Stauber <Stauberpress@mail.house.gov>,Police Reform Americans Actually Want,S001212
3/5/21 16:52,Congresswoman Virginia Foxx <virginia.foxx.enews@mail.house.gov>,H.R. 1 Is More Dangerous Than You May Think,F000450
3/5/21 16:55,Office of Senator Tim Kaine <senator@kaine.senate.gov>,Taking Care of our Healers,K000384
3/5/21 17:00,Congresswoman Liz Cheney <RepCheneyNewsletter@mail.gop.gov>,Congresswoman Liz Cheney Newsletter: March 5th,C001109
3/5/21 17:02,Congressman Frank Pallone <congressman.pallone@mail.house.gov>,A Plan to End the Climate Crisis + COVID-19 Updates,P000034
3/5/21 17:07,Sen. Ron Johnson <newsletter@ronjohnson.senate.gov>,I listened to all 11 hours of the Dems $1.9 Trillion Bill,J000293
3/5/21 17:12,Rep. Salud Carbajal <Noreply.Carbajal@mail.house.gov>,A recap from DC,C001112
3/5/21 17:19,Office of Congresswoman Marjorie Taylor Greene <repgreene@mail8.housecommunications.gov>,"Update from the House of Hypocrites - March 5th, 2021",G000596
3/5/21 17:24,Senator Marco Rubio <newsletter@rubio.senate.gov>,This Week in the Office of Senator Marco Rubio,R000595
3/5/21 17:26,Congressman John Katko <congressman.katko@mail.house.gov>,Week in Review,K000386
3/5/21 17:31,Rep. Mike Gallagher <noreply@mail8.housecommunications.gov>,H.R. 1: For the Politicians Act,M001159
3/5/21 17:46,Rep. David B. McKinley <McKinley.Newsletter@mail.house.gov>,Protect Our Veterans: Make the VA Safer,M001180
3/5/21 18:00,Senator Rick Scott <Newsletter@rickscott.senate.gov>,Senator Rick Scott's Week in Review,S001217
3/5/21 18:09,Representative Abigail Spanberger <Press.Spanberger@mail.house.gov>,"Weekly Wrap-Up: relief, vaccines, prescription drugs",S001209
3/5/21 18:32,Senator Mike Lee <SenMikeLee@lee.senate.gov>,Washington in a Week - $1.9 Trillion Later,L000577
3/5/21 18:40,Senator Steve Daines <info@daines.enews.senate.gov>,ICYMI: GOP Sen. Daines introduces amendment to ensure $130B in federal COVID-19 relief for schools is spent in 2021,D000618
3/5/21 18:45,Senator Manchin <donotreply@manchin.senate.gov>,"U.S. Senator Joe Manchin Newsletter - March 5, 2021",M001183
3/5/21 18:54,Rep. Dan Newhouse <repnewhouse@mail8.housecommunications.gov>,"Securing a Legal, Reliable Agriculture Workforce",N000189
3/5/21 19:07,Congressman Darren Soto <repsoto@mail8.housecommunications.gov>,"Central Florida, help is on the way",S001200
3/5/21 19:07,U.S. Congresswoman Stephanie Murphy <stephanie.murphy@mail.house.gov>,Nominate an Outstanding Woman in Central Florida,M001202
3/5/21 19:11,e-kilili: This Week in Congress <ekilili@mail2.housecommunications.gov>,Your weekly vaccination update,S001177
3/5/21 19:25,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Weekly Schedule - Week of 3/8/21,M001165
3/5/21 19:43,Office of U.S. Senator Marsha Blackburn <enewsletters@blackburn.senate.gov>,The Blackburn Report: Celebrating Women's History Month,B001243
3/5/21 19:48,Rep. Young Kim <repkim@mail8.housecommunications.gov>,Serving You,K000397
3/5/21 19:50,Senator Steve Daines <info@daines.enews.senate.gov>,ICYMI: Republican Senators Introduce Pro-Life Amendments to COVID-Relief Bill,D000618
3/5/21 20:00,Rep. Steel <repsteel@mail8.housecommunications.gov>,Keeping you updated,S001135
3/5/21 20:24,Congresswoman Ashley Hinson <rephinson@mail8.housecommunications.gov>,On the Record with Congresswoman Hinson: Delivering For IA-01,H001091
3/5/21 20:54,Rep. Scott Peters <RepScottPeters@public.govdelivery.com>,This week's recap - 3/5/2021,P000608
3/5/21 21:00,Congressman Louie Gohmert <louie.gohmert@mail.house.gov>,Rep. Gohmert Reacts to Biden Administration's Border Crisis,G000552
3/5/21 21:40,Congressman Ron Estes <ron.estes@mail.house.gov>,Standing Against Swamp-Focused Legislation | First Trade Subcommittee,E000298
3/5/21 22:13,Rep. Ed Case <Ed.Case@mail.house.gov>,Where Do We All Go From Here? COVID-19/Other Updates; Anonymous Online Survey; Virtual Talk Story,C001055
3/5/21 22:19,Congressman Pat Fallon <pat.fallon@mail.house.gov>,Did you hear about the QAnon threat...I go looking for it all over DC!,F000246
3/5/21 23:43,Rep. Cawthorn <repcawthorn@mail8.housecommunications.gov>,The Monthly Update from Rep. Madison Cawthorn,C001104
3/6/21 6:01,Rep. Paul Tonko <TonkoTownHall@mail.house.gov>,"One person, one vote—no more and no less",T000469
3/6/21 7:33,Senator Chuck Grassley <Senator@grassley.senate.gov>,The Scoop: Iowa History Month,G000386
3/6/21 9:00,Congressman Rick Crawford <Crawford.Newsletter@mail.house.gov>,For the People?,C001087
3/6/21 9:05,Senator Ben Cardin <senator@cardin.senate.gov>,Heroes of the Pandemic,C000141
3/6/21 9:31,Rep. Adrian Smith <repadriansmith@mail8.housecommunications.gov>,Protecting Election Integrity,S001172
3/6/21 10:02,Congressman Larry Bucshon <Rep.Larry.Bucshon@mail.house.gov>,The Prescription Pad,B001275
3/6/21 10:03,Congressman Rodney Davis <noreply@mail8.housecommunications.gov>,Weekly Update: Democrats Want the Federal Government In Control of Our Elections,M001159
3/6/21 10:16,Congresswoman Jackie Walorski <jackie.walorski@congressnewsletter.net>,No Federal Takeover of Elections,W000813
3/6/21 11:04,Congressman Steve Scalise <LA01@mail.house.gov>,COVID-19 Vaccine Distribution Update,S001176
3/6/21 11:04,Congressman Steven Palazzo <Congressman.Palazzo@mail.house.gov>,Federalizing Elections & Defunding the Police,P000601
